fixture,assumption,stage,step,formula,inputs,value
01_clean_high_equity,aggressive,underwriting,scenario[optimistic].equity.gross,V - confirmed,,575000.00
01_clean_high_equity,aggressive,underwriting,scenario[optimistic].equity.adjusted,V - confirmed - potential_weighted,pw=0,575000.00
01_clean_high_equity,aggressive,underwriting,scenario[optimistic].arv,V + repairs (recapture 1.0),repairs=64260.00,639260.00
01_clean_high_equity,conservative,underwriting,liabilities.confirmed,sum of confirmed bucket,,0.00
01_clean_high_equity,conservative,underwriting,liabilities.potential,sum of potential bucket,,0.00
01_clean_high_equity,conservative,underwriting,liabilities.potential_weighted,sum(potential x attachment_probability),,0.00
01_clean_high_equity,conservative,underwriting,value.candidate[comp].weight,base_weight x adjustment,base=1 adj=1.000000,1.000000
01_clean_high_equity,conservative,underwriting,value.v_expected,sum(v*w)/sum(w),,500000.00
01_clean_high_equity,conservative,underwriting,value.dispersion,"single->0.15 else clamp(wstdev/V,0.04,0.30)",,0.15
01_clean_high_equity,conservative,underwriting,value.v_low,V*(1-disp),,425000.00
01_clean_high_equity,conservative,underwriting,value.v_high,V*(1+disp),,575000.00
01_clean_high_equity,conservative,underwriting,repairs.base,sqft x psf[condition] x regional_index,sqft=1800 condition=moderate,75600.00
01_clean_high_equity,conservative,underwriting,holding.months_base,acquisition_months + repair_months + market_days/30,condition=moderate,8.0000
01_clean_high_equity,conservative,underwriting,scenario[conservative].holding,monthly x months,monthly=481.04 months=12.0000,5772.48
01_clean_high_equity,conservative,underwriting,scenario[conservative].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,14225.00
01_clean_high_equity,conservative,underwriting,scenario[conservative].resale,V x resale_pct,resale_pct=0.0725,30812.50
01_clean_high_equity,conservative,underwriting,scenario[conservative].equity.gross,V - confirmed,,425000.00
01_clean_high_equity,conservative,underwriting,scenario[conservative].equity.adjusted,V - confirmed - potential_weighted,pw=0.00,425000.00
01_clean_high_equity,conservative,underwriting,scenario[conservative].arv,V + repairs (recapture 1.0),repairs=120960.00,545960.00
01_clean_high_equity,conservative,underwriting,scenario[expected].holding,monthly x months,monthly=534.17 months=8.0000,4273.36
01_clean_high_equity,conservative,underwriting,scenario[expected].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,16100.00
01_clean_high_equity,conservative,underwriting,scenario[expected].resale,V x resale_pct,resale_pct=0.0725,36250.00
01_clean_high_equity,conservative,underwriting,scenario[expected].equity.gross,V - confirmed,,500000.00
01_clean_high_equity,conservative,underwriting,scenario[expected].equity.adjusted,V - confirmed - potential_weighted,pw=0.00,500000.00
01_clean_high_equity,conservative,underwriting,scenario[expected].arv,V + repairs (recapture 1.0),repairs=75600.00,575600.00
01_clean_high_equity,conservative,underwriting,scenario[optimistic].holding,monthly x months,monthly=587.29 months=6.0000,3523.74
01_clean_high_equity,conservative,underwriting,scenario[optimistic].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,17975.00
01_clean_high_equity,conservative,underwriting,scenario[optimistic].resale,V x resale_pct,resale_pct=0.0725,41687.50
01_clean_high_equity,conservative,underwriting,scenario[optimistic].equity.gross,V - confirmed,,575000.00
01_clean_high_equity,conservative,underwriting,scenario[optimistic].equity.adjusted,V - confirmed - potential_weighted,pw=0,575000.00
01_clean_high_equity,conservative,underwriting,scenario[optimistic].arv,V + repairs (recapture 1.0),repairs=49140.00,624140.00
01_clean_high_equity,default,underwriting,liabilities.confirmed,sum of confirmed bucket,,0.00
01_clean_high_equity,default,underwriting,liabilities.potential,sum of potential bucket,,0.00
01_clean_high_equity,default,underwriting,liabilities.potential_weighted,sum(potential x attachment_probability),,0.00
01_clean_high_equity,default,underwriting,value.candidate[comp].weight,base_weight x adjustment,base=1 adj=1.000000,1.000000
01_clean_high_equity,default,underwriting,value.v_expected,sum(v*w)/sum(w),,500000.00
01_clean_high_equity,default,underwriting,value.dispersion,"single->0.15 else clamp(wstdev/V,0.04,0.30)",,0.15
01_clean_high_equity,default,underwriting,value.v_low,V*(1-disp),,425000.00
01_clean_high_equity,default,underwriting,value.v_high,V*(1+disp),,575000.00
01_clean_high_equity,default,underwriting,repairs.base,sqft x psf[condition] x regional_index,sqft=1800 condition=moderate,75600.00
01_clean_high_equity,default,underwriting,holding.months_base,acquisition_months + repair_months + market_days/30,condition=moderate,8.0000
01_clean_high_equity,default,underwriting,scenario[conservative].holding,monthly x months,monthly=481.04 months=12.0000,5772.48
01_clean_high_equity,default,underwriting,scenario[conservative].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,14225.00
01_clean_high_equity,default,underwriting,scenario[conservative].resale,V x resale_pct,resale_pct=0.0725,30812.50
01_clean_high_equity,default,underwriting,scenario[conservative].equity.gross,V - confirmed,,425000.00
01_clean_high_equity,default,underwriting,scenario[conservative].equity.adjusted,V - confirmed - potential_weighted,pw=0.00,425000.00
01_clean_high_equity,default,underwriting,scenario[conservative].arv,V + repairs (recapture 1.0),repairs=105840.00,530840.00
01_clean_high_equity,default,underwriting,scenario[expected].holding,monthly x months,monthly=534.17 months=8.0000,4273.36
01_clean_high_equity,default,underwriting,scenario[expected].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,16100.00
01_clean_high_equity,default,underwriting,scenario[expected].resale,V x resale_pct,resale_pct=0.0725,36250.00
01_clean_high_equity,default,underwriting,scenario[expected].equity.gross,V - confirmed,,500000.00
01_clean_high_equity,default,underwriting,scenario[expected].equity.adjusted,V - confirmed - potential_weighted,pw=0.00,500000.00
01_clean_high_equity,default,underwriting,scenario[expected].arv,V + repairs (recapture 1.0),repairs=75600.00,575600.00
01_clean_high_equity,default,underwriting,scenario[optimistic].holding,monthly x months,monthly=587.29 months=6.0000,3523.74
01_clean_high_equity,default,underwriting,scenario[optimistic].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,17975.00
01_clean_high_equity,default,underwriting,scenario[optimistic].resale,V x resale_pct,resale_pct=0.0725,41687.50
01_clean_high_equity,default,underwriting,scenario[optimistic].equity.gross,V - confirmed,,575000.00
01_clean_high_equity,default,underwriting,scenario[optimistic].equity.adjusted,V - confirmed - potential_weighted,pw=0,575000.00
01_clean_high_equity,default,underwriting,scenario[optimistic].arv,V + repairs (recapture 1.0),repairs=56700.00,631700.00
02_owner_only_federal_lien,aggressive,underwriting,liabilities.confirmed,sum of confirmed bucket,,0.00
02_owner_only_federal_lien,aggressive,underwriting,liabilities.potential,sum of potential bucket,,128000.00
02_owner_only_federal_lien,aggressive,underwriting,liabilities.potential_weighted,sum(potential x attachment_probability),,32000.00
02_owner_only_federal_lien,aggressive,underwriting,value.candidate[avm].weight,base_weight x adjustment,base=0.30 adj=0.800000,0.240000
02_owner_only_federal_lien,aggressive,underwriting,value.candidate[comp].weight,base_weight x adjustment,base=1 adj=1.000000,1.000000
02_owner_only_federal_lien,aggressive,underwriting,value.v_expected,sum(v*w)/sum(w),,398064.52
02_owner_only_federal_lien,aggressive,underwriting,value.dispersion,"single->0.15 else clamp(wstdev/V,0.04,0.30)",,0.040000
02_owner_only_federal_lien,aggressive,underwriting,value.v_low,V*(1-disp),,382141.94
02_owner_only_federal_lien,aggressive,underwriting,value.v_high,V*(1+disp),,413987.10
02_owner_only_federal_lien,aggressive,underwriting,repairs.base,sqft x psf[condition] x regional_index,sqft=1650 condition=cosmetic,29700.00
02_owner_only_federal_lien,aggressive,underwriting,holding.months_base,acquisition_months + repair_months + market_days/30,condition=cosmetic,6.0000
02_owner_only_federal_lien,aggressive,underwriting,scenario[conservative].holding,monthly x months,monthly=850.68 months=9.0000,7656.12
02_owner_only_federal_lien,aggressive,underwriting,scenario[conservative].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,13153.55
02_owner_only_federal_lien,aggressive,underwriting,scenario[conservative].resale,V x resale_pct,resale_pct=0.0725,27705.29
02_owner_only_federal_lien,aggressive,underwriting,scenario[conservative].equity.gross,V - confirmed,,382141.94
02_owner_only_federal_lien,aggressive,underwriting,scenario[conservative].equity.adjusted,V - confirmed - potential_weighted,pw=128000.00,254141.94
02_owner_only_federal_lien,aggressive,underwriting,scenario[conservative].arv,V + repairs (recapture 1.0),repairs=35640.00,417781.94
02_owner_only_federal_lien,aggressive,underwriting,scenario[expected].holding,monthly x months,monthly=861.96 months=6.0000,5171.76
02_owner_only_federal_lien,aggressive,underwriting,scenario[expected].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,13551.61
02_owner_only_federal_lien,aggressive,underwriting,scenario[expected].resale,V x resale_pct,resale_pct=0.0725,28859.68
02_owner_only_federal_lien,aggressive,underwriting,scenario[expected].equity.gross,V - confirmed,,398064.52
02_owner_only_federal_lien,aggressive,underwriting,scenario[expected].equity.adjusted,V - confirmed - potential_weighted,pw=32000.00,366064.52
02_owner_only_federal_lien,aggressive,underwriting,scenario[expected].arv,V + repairs (recapture 1.0),repairs=29700.00,427764.52
02_owner_only_federal_lien,aggressive,underwriting,scenario[optimistic].holding,monthly x months,monthly=873.24 months=4.5000,3929.58
02_owner_only_federal_lien,aggressive,underwriting,scenario[optimistic].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,13949.68
02_owner_only_federal_lien,aggressive,underwriting,scenario[optimistic].resale,V x resale_pct,resale_pct=0.0725,30014.06
02_owner_only_federal_lien,aggressive,underwriting,scenario[optimistic].equity.gross,V - confirmed,,413987.10
02_owner_only_federal_lien,aggressive,underwriting,scenario[optimistic].equity.adjusted,V - confirmed - potential_weighted,pw=0,413987.10
02_owner_only_federal_lien,aggressive,underwriting,scenario[optimistic].arv,V + repairs (recapture 1.0),repairs=25245.00,439232.10
02_owner_only_federal_lien,conservative,underwriting,liabilities.confirmed,sum of confirmed bucket,,0.00
02_owner_only_federal_lien,conservative,underwriting,liabilities.potential,sum of potential bucket,,128000.00
02_owner_only_federal_lien,conservative,underwriting,liabilities.potential_weighted,sum(potential x attachment_probability),,64000.00
02_owner_only_federal_lien,conservative,underwriting,value.candidate[avm].weight,base_weight x adjustment,base=0.30 adj=0.800000,0.240000
02_owner_only_federal_lien,conservative,underwriting,value.candidate[comp].weight,base_weight x adjustment,base=1 adj=1.000000,1.000000
02_owner_only_federal_lien,conservative,underwriting,value.v_expected,sum(v*w)/sum(w),,398064.52
02_owner_only_federal_lien,conservative,underwriting,value.dispersion,"single->0.15 else clamp(wstdev/V,0.04,0.30)",,0.040000
02_owner_only_federal_lien,conservative,underwriting,value.v_low,V*(1-disp),,382141.94
02_owner_only_federal_lien,conservative,underwriting,value.v_high,V*(1+disp),,413987.10
02_owner_only_federal_lien,conservative,underwriting,repairs.base,sqft x psf[condition] x regional_index,sqft=1650 condition=cosmetic,29700.00
02_owner_only_federal_lien,conservative,underwriting,holding.months_base,acquisition_months + repair_months + market_days/30,condition=cosmetic,6.0000
02_owner_only_federal_lien,conservative,underwriting,scenario[conservative].holding,monthly x months,monthly=850.68 months=9.0000,7656.12
02_owner_only_federal_lien,conservative,underwriting,scenario[conservative].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,13153.55
02_owner_only_federal_lien,conservative,underwriting,scenario[conservative].resale,V x resale_pct,resale_pct=0.0725,27705.29
02_owner_only_federal_lien,conservative,underwriting,scenario[conservative].equity.gross,V - confirmed,,382141.94
02_owner_only_federal_lien,conservative,underwriting,scenario[conservative].equity.adjusted,V - confirmed - potential_weighted,pw=128000.00,254141.94
02_owner_only_federal_lien,conservative,underwriting,scenario[conservative].arv,V + repairs (recapture 1.0),repairs=47520.00,429661.94
02_owner_only_federal_lien,conservative,underwriting,scenario[expected].holding,monthly x months,monthly=861.96 months=6.0000,5171.76
02_owner_only_federal_lien,conservative,underwriting,scenario[expected].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,13551.61
02_owner_only_federal_lien,conservative,underwriting,scenario[expected].resale,V x resale_pct,resale_pct=0.0725,28859.68
02_owner_only_federal_lien,conservative,underwriting,scenario[expected].equity.gross,V - confirmed,,398064.52
02_owner_only_federal_lien,conservative,underwriting,scenario[expected].equity.adjusted,V - confirmed - potential_weighted,pw=64000.00,334064.52
02_owner_only_federal_lien,conservative,underwriting,scenario[expected].arv,V + repairs (recapture 1.0),repairs=29700.00,427764.52
02_owner_only_federal_lien,conservative,underwriting,scenario[optimistic].holding,monthly x months,monthly=873.24 months=4.5000,3929.58
02_owner_only_federal_lien,conservative,underwriting,scenario[optimistic].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,13949.68
02_owner_only_federal_lien,conservative,underwriting,scenario[optimistic].resale,V x resale_pct,resale_pct=0.0725,30014.06
02_owner_only_federal_lien,conservative,underwriting,scenario[optimistic].equity.gross,V - confirmed,,413987.10
02_owner_only_federal_lien,conservative,underwriting,scenario[optimistic].equity.adjusted,V - confirmed - potential_weighted,pw=0,413987.10
02_owner_only_federal_lien,conservative,underwriting,scenario[optimistic].arv,V + repairs (recapture 1.0),repairs=19305.00,433292.10
02_owner_only_federal_lien,default,underwriting,liabilities.confirmed,sum of confirmed bucket,,0.00
02_owner_only_federal_lien,default,underwriting,liabilities.potential,sum of potential bucket,,128000.00
02_owner_only_federal_lien,default,underwriting,liabilities.potential_weighted,sum(potential x attachment_probability),,44800.00
02_owner_only_federal_lien,default,underwriting,value.candidate[avm].weight,base_weight x adjustment,base=0.30 adj=0.800000,0.240000
02_owner_only_federal_lien,default,underwriting,value.candidate[comp].weight,base_weight x adjustment,base=1 adj=1.000000,1.000000
02_owner_only_federal_lien,default,underwriting,value.v_expected,sum(v*w)/sum(w),,398064.52
02_owner_only_federal_lien,default,underwriting,value.dispersion,"single->0.15 else clamp(wstdev/V,0.04,0.30)",,0.040000
02_owner_only_federal_lien,default,underwriting,value.v_low,V*(1-disp),,382141.94
02_owner_only_federal_lien,default,underwriting,value.v_high,V*(1+disp),,413987.10
02_owner_only_federal_lien,default,underwriting,repairs.base,sqft x psf[condition] x regional_index,sqft=1650 condition=cosmetic,29700.00
02_owner_only_federal_lien,default,underwriting,holding.months_base,acquisition_months + repair_months + market_days/30,condition=cosmetic,6.0000
02_owner_only_federal_lien,default,underwriting,scenario[conservative].holding,monthly x months,monthly=850.68 months=9.0000,7656.12
02_owner_only_federal_lien,default,underwriting,scenario[conservative].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,13153.55
02_owner_only_federal_lien,default,underwriting,scenario[conservative].resale,V x resale_pct,resale_pct=0.0725,27705.29
02_owner_only_federal_lien,default,underwriting,scenario[conservative].equity.gross,V - confirmed,,382141.94
02_owner_only_federal_lien,default,underwriting,scenario[conservative].equity.adjusted,V - confirmed - potential_weighted,pw=128000.00,254141.94
02_owner_only_federal_lien,default,underwriting,scenario[conservative].arv,V + repairs (recapture 1.0),repairs=41580.00,423721.94
02_owner_only_federal_lien,default,underwriting,scenario[expected].holding,monthly x months,monthly=861.96 months=6.0000,5171.76
02_owner_only_federal_lien,default,underwriting,scenario[expected].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,13551.61
02_owner_only_federal_lien,default,underwriting,scenario[expected].resale,V x resale_pct,resale_pct=0.0725,28859.68
02_owner_only_federal_lien,default,underwriting,scenario[expected].equity.gross,V - confirmed,,398064.52
02_owner_only_federal_lien,default,underwriting,scenario[expected].equity.adjusted,V - confirmed - potential_weighted,pw=44800.00,353264.52
02_owner_only_federal_lien,default,underwriting,scenario[expected].arv,V + repairs (recapture 1.0),repairs=29700.00,427764.52
02_owner_only_federal_lien,default,underwriting,scenario[optimistic].holding,monthly x months,monthly=873.24 months=4.5000,3929.58
02_owner_only_federal_lien,default,underwriting,scenario[optimistic].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,13949.68
02_owner_only_federal_lien,default,underwriting,scenario[optimistic].resale,V x resale_pct,resale_pct=0.0725,30014.06
02_owner_only_federal_lien,default,underwriting,scenario[optimistic].equity.gross,V - confirmed,,413987.10
02_owner_only_federal_lien,default,underwriting,scenario[optimistic].equity.adjusted,V - confirmed - potential_weighted,pw=0,413987.10
02_owner_only_federal_lien,default,underwriting,scenario[optimistic].arv,V + repairs (recapture 1.0),repairs=22275.00,436262.10
03_conflicting_mortgages,aggressive,underwriting,mortgage[1].conflict,same-position conflict: keep highest balance,"250000,265000",265000
03_conflicting_mortgages,aggressive,underwriting,liabilities.confirmed,sum of confirmed bucket,,265000.00
03_conflicting_mortgages,aggressive,underwriting,liabilities.potential,sum of potential bucket,,0.00
03_conflicting_mortgages,aggressive,underwriting,liabilities.potential_weighted,sum(potential x attachment_probability),,0.00
03_conflicting_mortgages,aggressive,underwriting,value.candidate[comp].weight,base_weight x adjustment,base=1 adj=1.000000,1.000000
03_conflicting_mortgages,aggressive,underwriting,value.v_expected,sum(v*w)/sum(w),,450000.00
03_conflicting_mortgages,aggressive,underwriting,value.dispersion,"single->0.15 else clamp(wstdev/V,0.04,0.30)",,0.15
03_conflicting_mortgages,aggressive,underwriting,value.v_low,V*(1-disp),,382500.00
03_conflicting_mortgages,aggressive,underwriting,value.v_high,V*(1+disp),,517500.00
03_conflicting_mortgages,aggressive,underwriting,repairs.base,sqft x psf[condition] x regional_index,sqft=1700 condition=moderate,71400.00
03_conflicting_mortgages,aggressive,underwriting,holding.months_base,acquisition_months + repair_months + market_days/30,condition=moderate,8.0000
03_conflicting_mortgages,aggressive,underwriting,scenario[conservative].holding,monthly x months,monthly=875.94 months=12.0000,10511.28
03_conflicting_mortgages,aggressive,underwriting,scenario[conservative].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,13162.50
03_conflicting_mortgages,aggressive,underwriting,scenario[conservative].resale,V x resale_pct,resale_pct=0.0725,27731.25
03_conflicting_mortgages,aggressive,underwriting,scenario[conservative].equity.gross,V - confirmed,,117500.00
03_conflicting_mortgages,aggressive,underwriting,scenario[conservative].equity.adjusted,V - confirmed - potential_weighted,pw=0.00,117500.00
03_conflicting_mortgages,aggressive,underwriting,scenario[conservative].arv,V + repairs (recapture 1.0),repairs=85680.00,468180.00
03_conflicting_mortgages,aggressive,underwriting,scenario[expected].holding,monthly x months,monthly=923.75 months=8.0000,7390.00
03_conflicting_mortgages,aggressive,underwriting,scenario[expected].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,14850.00
03_conflicting_mortgages,aggressive,underwriting,scenario[expected].resale,V x resale_pct,resale_pct=0.0725,32625.00
03_conflicting_mortgages,aggressive,underwriting,scenario[expected].equity.gross,V - confirmed,,185000.00
03_conflicting_mortgages,aggressive,underwriting,scenario[expected].equity.adjusted,V - confirmed - potential_weighted,pw=0.00,185000.00
03_conflicting_mortgages,aggressive,underwriting,scenario[expected].arv,V + repairs (recapture 1.0),repairs=71400.00,521400.00
03_conflicting_mortgages,aggressive,underwriting,scenario[optimistic].holding,monthly x months,monthly=971.56 months=6.0000,5829.36
03_conflicting_mortgages,aggressive,underwriting,scenario[optimistic].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,16537.50
03_conflicting_mortgages,aggressive,underwriting,scenario[optimistic].resale,V x resale_pct,resale_pct=0.0725,37518.75
03_conflicting_mortgages,aggressive,underwriting,scenario[optimistic].equity.gross,V - confirmed,,252500.00
03_conflicting_mortgages,aggressive,underwriting,scenario[optimistic].equity.adjusted,V - confirmed - potential_weighted,pw=0,252500.00
03_conflicting_mortgages,aggressive,underwriting,scenario[optimistic].arv,V + repairs (recapture 1.0),repairs=60690.00,578190.00
03_conflicting_mortgages,conservative,underwriting,mortgage[1].conflict,same-position conflict: keep highest balance,"250000,265000",265000
03_conflicting_mortgages,conservative,underwriting,liabilities.confirmed,sum of confirmed bucket,,265000.00
03_conflicting_mortgages,conservative,underwriting,liabilities.potential,sum of potential bucket,,0.00
03_conflicting_mortgages,conservative,underwriting,liabilities.potential_weighted,sum(potential x attachment_probability),,0.00
03_conflicting_mortgages,conservative,underwriting,value.candidate[comp].weight,base_weight x adjustment,base=1 adj=1.000000,1.000000
03_conflicting_mortgages,conservative,underwriting,value.v_expected,sum(v*w)/sum(w),,450000.00
03_conflicting_mortgages,conservative,underwriting,value.dispersion,"single->0.15 else clamp(wstdev/V,0.04,0.30)",,0.15
03_conflicting_mortgages,conservative,underwriting,value.v_low,V*(1-disp),,382500.00
03_conflicting_mortgages,conservative,underwriting,value.v_high,V*(1+disp),,517500.00
03_conflicting_mortgages,conservative,underwriting,repairs.base,sqft x psf[condition] x regional_index,sqft=1700 condition=moderate,71400.00
03_conflicting_mortgages,conservative,underwriting,holding.months_base,acquisition_months + repair_months + market_days/30,condition=moderate,8.0000
03_conflicting_mortgages,conservative,underwriting,scenario[conservative].holding,monthly x months,monthly=875.94 months=12.0000,10511.28
03_conflicting_mortgages,conservative,underwriting,scenario[conservative].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,13162.50
03_conflicting_mortgages,conservative,underwriting,scenario[conservative].resale,V x resale_pct,resale_pct=0.0725,27731.25
03_conflicting_mortgages,conservative,underwriting,scenario[conservative].equity.gross,V - confirmed,,117500.00
03_conflicting_mortgages,conservative,underwriting,scenario[conservative].equity.adjusted,V - confirmed - potential_weighted,pw=0.00,117500.00
03_conflicting_mortgages,conservative,underwriting,scenario[conservative].arv,V + repairs (recapture 1.0),repairs=114240.00,496740.00
03_conflicting_mortgages,conservative,underwriting,scenario[expected].holding,monthly x months,monthly=923.75 months=8.0000,7390.00
03_conflicting_mortgages,conservative,underwriting,scenario[expected].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,14850.00
03_conflicting_mortgages,conservative,underwriting,scenario[expected].resale,V x resale_pct,resale_pct=0.0725,32625.00
03_conflicting_mortgages,conservative,underwriting,scenario[expected].equity.gross,V - confirmed,,185000.00
03_conflicting_mortgages,conservative,underwriting,scenario[expected].equity.adjusted,V - confirmed - potential_weighted,pw=0.00,185000.00
03_conflicting_mortgages,conservative,underwriting,scenario[expected].arv,V + repairs (recapture 1.0),repairs=71400.00,521400.00
03_conflicting_mortgages,conservative,underwriting,scenario[optimistic].holding,monthly x months,monthly=971.56 months=6.0000,5829.36
03_conflicting_mortgages,conservative,underwriting,scenario[optimistic].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,16537.50
03_conflicting_mortgages,conservative,underwriting,scenario[optimistic].resale,V x resale_pct,resale_pct=0.0725,37518.75
03_conflicting_mortgages,conservative,underwriting,scenario[optimistic].equity.gross,V - confirmed,,252500.00
03_conflicting_mortgages,conservative,underwriting,scenario[optimistic].equity.adjusted,V - confirmed - potential_weighted,pw=0,252500.00
03_conflicting_mortgages,conservative,underwriting,scenario[optimistic].arv,V + repairs (recapture 1.0),repairs=46410.00,563910.00
03_conflicting_mortgages,default,underwriting,mortgage[1].conflict,same-position conflict: keep highest balance,"250000,265000",265000
03_conflicting_mortgages,default,underwriting,liabilities.confirmed,sum of confirmed bucket,,265000.00
03_conflicting_mortgages,default,underwriting,liabilities.potential,sum of potential bucket,,0.00
03_conflicting_mortgages,default,underwriting,liabilities.potential_weighted,sum(potential x attachment_probability),,0.00
03_conflicting_mortgages,default,underwriting,value.candidate[comp].weight,base_weight x adjustment,base=1 adj=1.000000,1.000000
03_conflicting_mortgages,default,underwriting,value.v_expected,sum(v*w)/sum(w),,450000.00
03_conflicting_mortgages,default,underwriting,value.dispersion,"single->0.15 else clamp(wstdev/V,0.04,0.30)",,0.15
03_conflicting_mortgages,default,underwriting,value.v_low,V*(1-disp),,382500.00
03_conflicting_mortgages,default,underwriting,value.v_high,V*(1+disp),,517500.00
03_conflicting_mortgages,default,underwriting,repairs.base,sqft x psf[condition] x regional_index,sqft=1700 condition=moderate,71400.00
03_conflicting_mortgages,default,underwriting,holding.months_base,acquisition_months + repair_months + market_days/30,condition=moderate,8.0000
03_conflicting_mortgages,default,underwriting,scenario[conservative].holding,monthly x months,monthly=875.94 months=12.0000,10511.28
03_conflicting_mortgages,default,underwriting,scenario[conservative].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,13162.50
03_conflicting_mortgages,default,underwriting,scenario[conservative].resale,V x resale_pct,resale_pct=0.0725,27731.25
03_conflicting_mortgages,default,underwriting,scenario[conservative].equity.gross,V - confirmed,,117500.00
03_conflicting_mortgages,default,underwriting,scenario[conservative].equity.adjusted,V - confirmed - potential_weighted,pw=0.00,117500.00
03_conflicting_mortgages,default,underwriting,scenario[conservative].arv,V + repairs (recapture 1.0),repairs=99960.00,482460.00
03_conflicting_mortgages,default,underwriting,scenario[expected].holding,monthly x months,monthly=923.75 months=8.0000,7390.00
03_conflicting_mortgages,default,underwriting,scenario[expected].acquisition,V x acq_pct + flats,acq_pct=0.025 flat=3600,14850.00
03_conflicting_mortgages,default,underwriting,scenario[expected].resale,V x resale_pct,resale_pct=0.0725,32625.00
03_conflicting_mortgages,default,underwriting,scenario[expected].equity.gross,V - confirmed,,185000.00
03_conflicting_mortgages,default,underwriting,scenario[expected].equity.adjusted,V - confirmed - potential_weighted,pw=0.00,185000.00
03_conflicting_mortgages,default,underwriting,scenario[expected].arv,V + repairs (recapture 1.0),repairs=71400.00,521400.00
